model,checkpoint,eng_acc,nld_acc,spa_acc,fra_acc,rus_acc,ita_acc,por_acc,tur_acc,ara_acc,deu_acc,eng_se,nld_se,spa_se,fra_se,rus_se,ita_se,por_se,tur_se,ara_se,deu_se,source_path
CohereLabs/tiny-aya-base,main,0.9896103896103896,0.9631059631059632,0.9799291617473436,0.9929356357927788,0.9775574112734864,0.971990663554518,0.977034120734908,0.928243398392652,0.9539094650205762,0.9895561357702348,0.0036541501731241,0.0039043072572518,0.0027821322082107,0.0016591947988472,0.0023927364280755,0.0030129659518594,0.0027132444461864,0.0061835487700949,0.0060154942303332,0.0021206832907215,multiblimp/results/CohereLabs/tiny-aya-base/main/all.csv
CohereLabs/tiny-aya-earth,main,0.974025974025974,0.8837408837408838,0.9476584022038568,0.9686028257456828,0.9326722338204592,0.905301767255752,0.9406167979002624,0.8679678530424799,0.9069958847736626,0.9456048738033072,0.0057320443474334,0.006639033274905,0.0044182172221823,0.0034547643997464,0.0040480780408543,0.0053466208585101,0.0042808566967117,0.0081108727443283,0.0083323135068467,0.0047310750035003,multiblimp/results/CohereLabs/tiny-aya-earth/main/all.csv
CohereLabs/tiny-aya-fire,main,0.9792207792207792,0.8983268983268984,0.9586776859504132,0.9756671899529042,0.94258872651357,0.924641547182394,0.9458661417322834,0.8817451205510907,0.9168724279835392,0.9612706701479548,0.0051405498673779,0.0062596363145764,0.0039484468280408,0.0030524409514824,0.0037579150694057,0.0048201933111338,0.0040986595840687,0.0077367220033251,0.0079202495485433,0.0040250179800157,multiblimp/results/CohereLabs/tiny-aya-fire/main/all.csv
CohereLabs/tiny-aya-global,main,0.974025974025974,0.8785928785928786,0.94254230617867,0.9654631083202512,0.9266701461377872,0.900966988996332,0.9366797900262468,0.8610792192881745,0.9004115226337449,0.9395126196692776,0.0057320443474334,0.0067646414692843,0.0046165993829951,0.0036175101149885,0.0042110485207043,0.005454515727879,0.0044112255761342,0.00828668988654,0.0085908656889571,0.0049728880762322,multiblimp/results/CohereLabs/tiny-aya-global/main/all.csv
CohereLabs/tiny-aya-water,main,0.9727272727272728,0.8841698841698842,0.9472648563557654,0.9686028257456828,0.933455114822547,0.9093031010336778,0.9399606299212598,0.8673938002296211,0.9053497942386832,0.9477806788511748,0.0058696805837821,0.006628381060033,0.0044338750147274,0.0034547643997464,0.0040261625946504,0.0052439956450064,0.0043029412253414,0.0081257975163779,0.0083980962133552,0.0046408178640368,multiblimp/results/CohereLabs/tiny-aya-water/main/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0001000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0001000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0002000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0002000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0003000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0003000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0004000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0004000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0005000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0005000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0006000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0006000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0007000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0007000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0008000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0008000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0009000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0009000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0010000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0010000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0011000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0011000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0012000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0012000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0013000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0013000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0014000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0014000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0015000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0015000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0016000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0016000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0017000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0017000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0018000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0018000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0019000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0019000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0020000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0020000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0021000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0021000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0022000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0022000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0023000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0023000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0024000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0024000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0025000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0025000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0026000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0026000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0027000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0027000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0028000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0028000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0029000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0029000/all.csv
HPLT/hplt2c__checkpoints,checkpoint_0030000,,,,,,,,,,,,,,,,,,,,,multiblimp/results/HPLT/hplt2c__checkpoints/checkpoint_0030000/all.csv
