,metadata__wiki_size,metadata__nlp_state,metadata__speakers,metadata__AES,metadata__loc,metadata__average,typology__lang2vec_knn,typology__phoible,typology__glot_tree,typology__scripts,typology__average,wordlists__asjp,wordlists__concepts,wordlists__average,textbased__whitespace,textbased__punctuation,textbased__char_JSD,textbased__textcat,textbased__average,model_sim__cosine_sim,model_sim__l2_norm,model_sim__mean_cka_inlang,model_sim__mean_cka_eng,model_sim__mean_rank_diff
metadata__wiki_size,1.0,-0.04458753394952852,-0.04137022397891963,,0.05283267457180501,-0.0686429512516469,0.3803939661723612,-0.03669543456148341,0.42202920619546336,0.013333410817264876,0.13227931488801054,0.3752305665349144,0.20536008354188967,0.2957839262187088,0.7093544137022398,-0.11409749670619236,-0.11686429512516469,-0.1363681281414383,-0.1363681281414383,-0.3469038208168643,0.45770750988142295,0.21159420289855072,0.08511198945981555,0.49894598155467723
metadata__nlp_state,-0.04458753394952852,1.0,0.3395512200771787,,-0.10632411941810646,0.45959458071052467,-0.048020507763850334,-0.1320563963505884,-0.11917422763581739,-0.0654217670878922,-0.17492032549430417,-0.16463089458287453,0.05538089614162597,-0.05830677516476806,-0.04115772364571863,-0.020578861822859316,0.003429810303809886,-0.022294501324846797,-0.022294501324846797,0.21264823883621292,-0.10632411941810646,0.10975392972191635,-0.003429810303809886,0.05830677516476806
metadata__speakers,-0.04137022397891963,0.3395512200771787,1.0,,0.03491436100131752,0.9094861660079051,0.10277356896932517,0.05909480215736197,-0.04778228978619823,-0.052635558933077045,-0.005138339920948616,-0.060210803689064556,-0.14672376315213678,-0.13873517786561265,0.04479578392621871,0.04782608695652174,-0.17681159420289855,-0.1544846669041898,-0.1544846669041898,0.13860342555994729,-0.1932806324110672,-0.15718050065876152,-0.04044795783926219,-0.040974967061923585
metadata__AES,,,,,,,,,,,,,,,,,,,,,,,,
metadata__loc,0.05283267457180501,-0.10632411941810646,0.03491436100131752,,1.0,0.31765480895915676,0.6404242717633397,0.7426707967892324,0.6406975593038585,0.5623069326338669,0.7202898550724638,0.6627140974967062,0.5424192041496528,0.6587615283267457,0.2573122529644269,0.5013175230566534,0.6675889328063241,0.7413946444945637,0.7413946444945637,-0.18208168642951253,0.20303030303030303,-0.8744400527009223,-0.6980237154150197,0.5876152832674572
metadata__average,-0.0686429512516469,0.45959458071052467,0.9094861660079051,,0.31765480895915676,1.0,0.2936293569847963,0.24441662876679254,0.1330464955124681,0.1021995467878313,0.19183135704874835,0.08181818181818182,0.06348943987779367,0.06416337285902503,0.09802371541501977,0.23899868247694334,0.07259552042160738,0.10006917229316174,0.10006917229316174,0.14598155467720686,-0.15349143610013175,-0.3974967061923584,-0.2565217391304348,0.138866930171278
typology__lang2vec_knn,0.3803939661723612,-0.048020507763850334,0.10277356896932517,,0.6404242717633397,0.2936293569847963,1.0,0.5309658716563447,0.8148561708108341,0.18957729046997435,0.6978061811045463,0.6835101141389414,0.5932165956218314,0.7346992571448169,0.45292838888725034,0.40299097524702693,0.3747941242733916,0.3589287480947325,0.3589287480947325,0.13261743226618689,0.1662823641529338,-0.5337637537112003,-0.2739969700919381,0.5170959890001495
typology__phoible,-0.03669543456148341,-0.1320563963505884,0.05909480215736197,,0.7426707967892324,0.24441662876679254,0.5309658716563447,1.0,0.5205965923163764,0.5887333052967386,0.8121088363364559,0.51287963745269,0.22066527104162045,0.3805257271582193,-0.08472231390676421,0.3107582851463505,0.6567626340097452,0.631748855631496,0.631748855631496,-0.13485736902577475,0.18505830463771436,-0.8083536482394998,-0.5748731812989304,0.4860662768305648
typology__glot_tree,0.42202920619546336,-0.11917422763581739,-0.04778228978619823,,0.6406975593038585,0.1330464955124681,0.8148561708108341,0.5205965923163764,1.0,0.22956080450977787,0.7708828398590694,0.849852372679373,0.5161026172417584,0.745131905243753,0.4809702343149654,0.2900556662919668,0.3997832599027873,0.34782790021224547,0.34782790021224547,0.0690983412177657,0.3271799303623813,-0.4897684703085318,-0.20958399561910301,0.6482797789405906
typology__scripts,0.013333410817264876,-0.0654217670878922,-0.052635558933077045,,0.5623069326338669,0.1021995467878313,0.18957729046997435,0.5887333052967386,0.22956080450977787,1.0,0.34862331738963764,0.2558479091375695,0.18690246910961936,0.1974880586494363,-0.06938958299665594,0.05752214928495423,0.8270205128384135,0.7370617197253616,0.7370617197253616,-0.544994441101502,0.4667391870378689,-0.6011902301480896,-0.8001442659030891,0.5284498423387178
