model,checkpoint,eng,nld,spa,fra,rus,ita,por,tur,ara,deu,zhos
HPLT/hplt2c__checkpoints,checkpoint_0001000,,,,,,,,,,,
HPLT/hplt2c__checkpoints,checkpoint_0002000,,,,,,,,,,,
HPLT/hplt2c__checkpoints,checkpoint_0003000,,,,,,,,,,,
HPLT/hplt2c_ita_checkpoints,checkpoint_0043000,0.9,0.7267267267267268,0.8941361668634396,0.9073783359497645,0.5662839248434238,0.9819939979993331,0.8202099737532809,0.6607347876004592,0.6781893004115226,0.8294168842471714,
HPLT/hplt2c__checkpoints,checkpoint_0004000,,,,,,,,,,,
HPLT/hplt2c_deu_checkpoints,checkpoint_0047000,0.9376623376623376,0.8108108108108109,0.8366784730421094,0.8763736263736264,0.5441022964509394,0.7142380793597866,0.7411417322834646,0.6779563719862227,0.7160493827160493,0.9921671018276762,
HPLT/hplt2c__checkpoints,checkpoint_0005000,,,,,,,,,,,
HPLT/hplt2c_deu_checkpoints,checkpoint_0047684,,,,,,,,,,,
HPLT/hplt2c__checkpoints,checkpoint_0006000,,,,,,,,,,,
HPLT/hplt2c__checkpoints,checkpoint_0007000,,,,,,,,,,,
HPLT/hplt2c__checkpoints,checkpoint_0008000,,,,,,,,,,,
HPLT/hplt2c_zhos_checkpoints,checkpoint_0035000,0.7168831168831169,0.5607035607035608,0.7024793388429752,0.6605180533751962,0.537839248434238,0.5721907302434145,0.6279527559055118,0.6584385763490241,0.6493827160493827,0.6666666666666666,
HPLT/hplt2c__checkpoints,checkpoint_0009000,,,,,,,,,,,
HPLT/hplt2c__checkpoints,checkpoint_0010000,,,,,,,,,,,
HPLT/hplt2c__checkpoints,checkpoint_0011000,,,,,,,,,,,
HPLT/hplt2c__checkpoints,checkpoint_0012000,,,,,,,,,,,
HPLT/hplt2c_tur_checkpoints,checkpoint_0046000,0.8519480519480519,0.6653796653796654,0.7249114521841794,0.7617739403453689,0.5381002087682673,0.581193731243748,0.6732283464566929,0.9845005740528129,0.7374485596707819,0.77763272410792,
HPLT/hplt2c__checkpoints,checkpoint_0013000,,,,,,,,,,,
HPLT/hplt2c__checkpoints,checkpoint_0014000,,,,,,,,,,,
HPLT/hplt2c__checkpoints,checkpoint_0015000,,,,,,,,,,,
HPLT/hplt2c__checkpoints,checkpoint_0016000,,,,,,,,,,,
