model,checkpoint,eng,nld,spa,fra,rus,ita,por,tur,ara,deu,zhos
models/merged-engnld-checkpoints/checkpoint_0047684,checkpoint_0047684,0.6324675324675325,0.6332046332046332,,,,,,,,,
models/merged-engspa-checkpoints/checkpoint_0047684,checkpoint_0047684,0.5987012987012987,,0.738685556867375,,,,,,,,
models/merged-engfra-checkpoints/checkpoint_0047684,checkpoint_0047684,0.6597402597402597,,,0.6679748822605965,,,,,,,
models/merged-engrus-checkpoints/checkpoint_0047684,checkpoint_0047684,0.6649350649350649,,,,0.5404488517745303,,,,,,
models/merged-engita-checkpoints/checkpoint_0047684,checkpoint_0047684,0.5896103896103896,,,,,0.5611870623541181,,,,,
models/merged-engtur-checkpoints/checkpoint_0047684,checkpoint_0047684,0.6493506493506493,,,,,,,0.7066590126291619,,,
models/merged-engara-checkpoints/checkpoint_0047684,checkpoint_0047684,0.6155844155844156,,,,,,,,0.6946502057613169,,
models/merged-engdeu-checkpoints/checkpoint_0047684,checkpoint_0047684,0.6454545454545455,,,,,,,,,0.6840731070496083,
models/merged-engzhos-checkpoints/checkpoint_0047684,checkpoint_0047684,0.7363636363636363,,,,,,,,,,
models/merged-nldspa-checkpoints/checkpoint_0047684,checkpoint_0047684,,0.6271986271986272,0.7209759937032665,,,,,,,,
models/merged-nldfra-checkpoints/checkpoint_0047684,checkpoint_0047684,,0.6756756756756757,,0.6601255886970173,,,,,,,
models/merged-nldrus-checkpoints/checkpoint_0047684,checkpoint_0047684,,0.5053625053625054,,,0.5399269311064718,,,,,,
models/merged-nldita-checkpoints/checkpoint_0047684,checkpoint_0047684,,0.6580866580866581,,,,0.5755251750583528,,,,,
models/merged-nldtur-checkpoints/checkpoint_0047684,checkpoint_0047684,,0.6443586443586443,,,,,,0.6808266360505166,,,
models/merged-nldara-checkpoints/checkpoint_0047684,checkpoint_0047684,,0.5877305877305877,,,,,,,0.6592592592592592,,
models/merged-nlddeu-checkpoints/checkpoint_0047684,checkpoint_0047684,,0.5877305877305877,,,,,,,,0.6353350739773717,
models/merged-nldzhos-checkpoints/checkpoint_0047684,checkpoint_0047684,,0.6061776061776062,,,,,,,,,
models/merged-spafra-checkpoints/checkpoint_0047684,checkpoint_0047684,,,0.7032664305391578,0.673861852433281,,,,,,,
models/merged-sparus-checkpoints/checkpoint_0047684,checkpoint_0047684,,,0.6513183785911059,,0.548277661795407,,,,,,
models/merged-spaita-checkpoints/checkpoint_0047684,checkpoint_0047684,,,0.7103502558048013,,,0.5915305101700566,,,,,
models/merged-spatur-checkpoints/checkpoint_0047684,checkpoint_0047684,,,0.7079889807162535,,,,,0.6854190585533869,,,
models/merged-spaara-checkpoints/checkpoint_0047684,checkpoint_0047684,,,0.6863439590712318,,,,,,0.6551440329218107,,
models/merged-spadeu-checkpoints/checkpoint_0047684,checkpoint_0047684,,,0.7036599763872491,,,,,,,0.6827676240208878,
models/merged-spazhos-checkpoints/checkpoint_0047684,checkpoint_0047684,,,0.6615505706414797,,,,,,,,
models/merged-frarus-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,0.6507064364207221,0.5822025052192067,,,,,,
models/merged-fraita-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,0.6836734693877551,,0.5915305101700566,,,,,
models/merged-fratur-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,0.6754317111459969,,,,0.6934557979334098,,,
models/merged-fraara-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,0.6459968602825745,,,,,0.6765432098765433,,
models/merged-fradeu-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,0.6660125588697017,,,,,,0.7158398607484769,
models/merged-frazhos-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,0.641287284144427,,,,,,,
models/merged-rusita-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,0.5534968684759917,0.5721907302434145,,,,,
models/merged-rustur-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,0.5485386221294363,,,0.677382319173364,,,
models/merged-rusara-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,0.550365344467641,,,,0.6452674897119342,,
models/merged-rusdeu-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,0.5884655532359081,,,,,0.6901653611836379,
models/merged-ruszhos-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,0.5571503131524008,,,,,,
models/merged-itatur-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,,0.5525175058352785,,0.6762342135476463,,,
models/merged-itaara-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,,0.5398466155385129,,,0.6691358024691358,,
models/merged-itadeu-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,,0.5141713904634878,,,,0.7419495213228895,
models/merged-itazhos-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,,0.5408469489829943,,,,,
models/merged-turara-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,,,,0.6963260619977037,0.7366255144032922,,
models/merged-turdeu-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,,,,0.6917336394948336,,0.6631853785900783,
models/merged-turzhos-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,,,,0.703788748564868,,,
models/merged-aradeu-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,,,,,0.7094650205761317,0.6640557006092254,
models/merged-arazhos-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,,,,,0.7094650205761317,,
models/merged-deuzhos-checkpoints/checkpoint_0047684,checkpoint_0047684,,,,,,,,,,0.6688424717145344,
