model,mean_acc,cv,eng_acc,deu_acc,ara_acc,fra_acc,spa_acc,zhos_acc,rus_acc,tur_acc,nld_acc,ita_acc
tiny-aya-base,0.9719,0.0214,0.9896,0.9896,0.9539,0.9929,0.9799,,0.9776,0.9282,0.9631,0.972
llama-3.2-1b,0.9232,0.0609,0.9896,0.9613,0.8502,0.9729,0.9551,,0.9225,0.8215,0.9086,0.927
gemma-2-2b,0.9483,0.0346,0.987,0.9735,0.9062,0.9792,0.9634,,0.9509,0.8898,0.9455,0.9393
mixed-10-checkpoints,0.9757,0.0139,0.9753,0.99,0.9523,0.991,0.9791,,0.9783,0.9569,0.9858,0.9723
merged-10-checkpoints,0.5987,0.1423,0.7182,0.6084,0.6239,0.6115,0.6529,,0.529,0.6785,0.4517,0.5142
merged-2-checkpoints,0.6313,0.0946,0.6597,0.661,0.6362,0.668,0.6934,,0.535,0.6791,0.6169,0.5322
merged-3-checkpoints,0.6381,0.0883,0.6338,0.6684,0.6864,0.6491,0.6824,,0.5331,0.7009,0.619,0.5695
merged-4-checkpoints,0.6201,0.1127,0.7208,0.6462,0.6354,0.6154,0.6761,,0.5454,0.6757,0.5564,0.5098
merged-5-checkpoints,0.6187,0.0928,0.6597,0.6319,0.6724,0.5989,0.6745,,0.5368,0.6659,0.6036,0.5242
merged-6-checkpoints,0.6345,0.0965,0.661,0.6427,0.6765,0.6079,0.7127,,0.5592,0.6912,0.6332,0.5262
merged-7-checkpoints,0.6247,0.0866,0.6649,0.6536,0.6091,0.6295,0.6852,,0.5629,0.6762,0.619,0.5222
merged-8-checkpoints,0.6252,0.0944,0.6753,0.6519,0.6132,0.6221,0.68,,0.542,0.6946,0.6212,0.5265
merged-9-checkpoints,0.6023,0.1037,0.6234,0.6184,0.6313,0.6068,0.6655,,0.5224,0.6946,0.5341,0.5242
hplt-mono-avg,0.9867,0.0078,0.9896,0.9909,0.9687,0.9941,0.9839,,0.9916,0.9868,0.9914,0.9833
