|       Tasks        |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|--------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|belebele            |    0.1|none  |      |acc     |↑  |0.2397|±  |0.0013|
|                    |       |none  |      |acc_norm|↑  |0.2397|±  |0.0013|
| - belebele_acm_Arab|    0.0|none  |     0|acc     |↑  |0.2189|±  |0.0138|
|                    |       |none  |     0|acc_norm|↑  |0.2189|±  |0.0138|
| - belebele_afr_Latn|    0.0|none  |     0|acc     |↑  |0.2544|±  |0.0145|
|                    |       |none  |     0|acc_norm|↑  |0.2544|±  |0.0145|
| - belebele_als_Latn|    0.0|none  |     0|acc     |↑  |0.2400|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2400|±  |0.0142|
| - belebele_amh_Ethi|    0.0|none  |     0|acc     |↑  |0.2556|±  |0.0145|
|                    |       |none  |     0|acc_norm|↑  |0.2556|±  |0.0145|
| - belebele_apc_Arab|    0.0|none  |     0|acc     |↑  |0.2211|±  |0.0138|
|                    |       |none  |     0|acc_norm|↑  |0.2211|±  |0.0138|
| - belebele_arb_Arab|    0.0|none  |     0|acc     |↑  |0.2178|±  |0.0138|
|                    |       |none  |     0|acc_norm|↑  |0.2178|±  |0.0138|
| - belebele_arb_Latn|    0.0|none  |     0|acc     |↑  |0.2467|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2467|±  |0.0144|
| - belebele_ars_Arab|    0.0|none  |     0|acc     |↑  |0.2200|±  |0.0138|
|                    |       |none  |     0|acc_norm|↑  |0.2200|±  |0.0138|
| - belebele_ary_Arab|    0.0|none  |     0|acc     |↑  |0.2189|±  |0.0138|
|                    |       |none  |     0|acc_norm|↑  |0.2189|±  |0.0138|
| - belebele_arz_Arab|    0.0|none  |     0|acc     |↑  |0.2256|±  |0.0139|
|                    |       |none  |     0|acc_norm|↑  |0.2256|±  |0.0139|
| - belebele_asm_Beng|    0.0|none  |     0|acc     |↑  |0.2311|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2311|±  |0.0141|
| - belebele_azj_Latn|    0.0|none  |     0|acc     |↑  |0.2756|±  |0.0149|
|                    |       |none  |     0|acc_norm|↑  |0.2756|±  |0.0149|
| - belebele_bam_Latn|    0.0|none  |     0|acc     |↑  |0.2367|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2367|±  |0.0142|
| - belebele_ben_Beng|    0.0|none  |     0|acc     |↑  |0.2511|±  |0.0145|
|                    |       |none  |     0|acc_norm|↑  |0.2511|±  |0.0145|
| - belebele_ben_Latn|    0.0|none  |     0|acc     |↑  |0.2600|±  |0.0146|
|                    |       |none  |     0|acc_norm|↑  |0.2600|±  |0.0146|
| - belebele_bod_Tibt|    0.0|none  |     0|acc     |↑  |0.2033|±  |0.0134|
|                    |       |none  |     0|acc_norm|↑  |0.2033|±  |0.0134|
| - belebele_bul_Cyrl|    0.0|none  |     0|acc     |↑  |0.2600|±  |0.0146|
|                    |       |none  |     0|acc_norm|↑  |0.2600|±  |0.0146|
| - belebele_cat_Latn|    0.0|none  |     0|acc     |↑  |0.2244|±  |0.0139|
|                    |       |none  |     0|acc_norm|↑  |0.2244|±  |0.0139|
| - belebele_ceb_Latn|    0.0|none  |     0|acc     |↑  |0.2189|±  |0.0138|
|                    |       |none  |     0|acc_norm|↑  |0.2189|±  |0.0138|
| - belebele_ces_Latn|    0.0|none  |     0|acc     |↑  |0.2322|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2322|±  |0.0141|
| - belebele_ckb_Arab|    0.0|none  |     0|acc     |↑  |0.2256|±  |0.0139|
|                    |       |none  |     0|acc_norm|↑  |0.2256|±  |0.0139|
| - belebele_dan_Latn|    0.0|none  |     0|acc     |↑  |0.2633|±  |0.0147|
|                    |       |none  |     0|acc_norm|↑  |0.2633|±  |0.0147|
| - belebele_deu_Latn|    0.0|none  |     0|acc     |↑  |0.2333|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2333|±  |0.0141|
| - belebele_ell_Grek|    0.0|none  |     0|acc     |↑  |0.2289|±  |0.0140|
