model,ckpt,flores200_eng,flores200_nld,flores200_spa,flores200_fra,flores200_rus,flores200_ita,flores200_tur,flores200_arb,flores200_deu,flores200_zho,xcsqa_eng,xcsqa_nld,xcsqa_spa,xcsqa_fra,xcsqa_rus,xcsqa_ita,xcsqa_tur,xcsqa_arb,xcsqa_deu,xcsqa_zho,hellaswag_eng,hellaswag_nld,hellaswag_spa,hellaswag_fra,hellaswag_rus,hellaswag_ita,hellaswag_tur,hellaswag_arb,hellaswag_deu,hellaswag_zho,belebele_eng,belebele_nld,belebele_spa,belebele_fra,belebele_rus,belebele_ita,belebele_tur,belebele_arb,belebele_deu,belebele_zho,multiblimp_eng,multiblimp_nld,multiblimp_spa,multiblimp_fra,multiblimp_rus,multiblimp_ita,multiblimp_tur,multiblimp_arb,multiblimp_deu,multiblimp_zho
mixed-10-checkpoints,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.211,0.217,0.226,0.18,0.2231,0.2332,,,0.1982,,0.292,0.235,0.267,0.254,0.262,0.253,0.246,,0.274,,0.2378,0.2489,0.2456,0.2378,0.2222,0.2556,0.24,,0.2133,,0.6494,0.553,0.6379,0.584,0.5378,0.5425,0.6625,0.6379,0.5923,
mixed-10-checkpoints,1000,24.8381,19.204,18.0893,10.3899,5.1327,20.8831,14.0032,,20.6838,,0.208,0.24,0.195,0.224,0.211,0.2161,,,0.2143,,0.258,0.238,0.271,0.232,0.238,0.247,0.257,,0.256,,0.2333,0.2156,0.2233,0.2344,0.2222,0.2289,0.2244,,0.2456,,0.7442,0.7254,0.7977,0.7755,0.6086,0.6659,0.6871,0.7366,0.745,
mixed-10-checkpoints,2000,27.6143,19.0431,15.8161,19.4723,6.012,20.6695,15.2888,,22.7193,,0.211,0.208,0.214,0.212,0.2221,0.2171,,,0.2193,,0.271,0.246,0.266,0.261,0.26,0.255,0.297,,0.274,,0.2522,0.2833,0.2478,0.2633,0.2789,0.2633,0.2722,,0.2833,,0.8506,0.87,0.8993,0.9101,0.8134,0.8346,0.7687,0.8395,0.8864,
mixed-10-checkpoints,3000,16.4678,14.9422,18.8596,18.2487,6.2831,17.6913,12.4053,,18.4798,,0.238,0.227,0.226,0.211,0.2099,0.2241,,,0.2414,,0.285,0.262,0.28,0.265,0.275,0.268,0.276,,0.27,,0.2511,0.2933,0.2633,0.2822,0.2856,0.27,0.2778,,0.2833,,0.9,0.9172,0.9327,0.9525,0.8638,0.8763,0.8157,0.8889,0.9169,
mixed-10-checkpoints,4000,17.642,14.8506,15.8141,24.8825,5.4551,18.4922,14.6157,,19.0428,,0.25,0.229,0.231,0.226,0.2211,0.2362,,,0.2435,,0.287,0.273,0.299,0.279,0.283,0.275,0.295,,0.303,,0.2856,0.2922,0.2778,0.2822,0.2722,0.2711,0.2967,,0.2889,,0.9143,0.9425,0.9398,0.9584,0.9029,0.9066,0.8324,0.8947,0.943,
mixed-10-checkpoints,5000,17.6247,21.7225,18.4019,16.2566,4.4035,18.6437,14.9494,,25.8898,,0.272,0.251,0.256,0.237,0.2505,0.2784,,,0.2555,,0.3,0.26,0.302,0.293,0.282,0.284,0.308,,0.31,,0.3,0.3044,0.2822,0.3167,0.2789,0.2944,0.2867,,0.29,,0.9519,0.9554,0.9488,0.9753,0.9295,0.9393,0.884,0.916,0.9539,
mixed-10-checkpoints,6000,31.0971,19.4449,14.3915,16.655,5.932,16.4904,16.1469,,18.6857,,0.307,0.265,0.266,0.264,0.2647,0.2824,,,0.2938,,0.322,0.276,0.318,0.3,0.289,0.284,0.307,,0.316,,0.2989,0.3133,0.3089,0.3233,0.3011,0.2911,0.2911,,0.3078,,0.9494,0.9678,0.9599,0.9792,0.935,0.9436,0.8806,0.9235,0.9604,
mixed-10-checkpoints,7000,24.4932,22.1523,19.4834,26.1404,27.7041,18.895,11.0931,,28.2418,,0.282,0.269,0.265,0.258,0.2576,0.2844,,,0.2746,,0.327,0.285,0.331,0.314,0.296,0.297,0.311,,0.318,,0.2789,0.3178,0.3056,0.3133,0.2844,0.2967,0.2822,,0.3044,,0.961,0.9725,0.9563,0.9843,0.9384,0.9483,0.907,0.9325,0.9708,
mixed-10-checkpoints,8000,25.0414,18.1004,28.2277,23.4895,4.0601,14.7116,15.7124,,26.0394,,0.308,0.283,0.281,0.268,0.2576,0.2995,,,0.2897,,0.352,0.297,0.325,0.323,0.29,0.297,0.315,,0.332,,0.3022,0.3256,0.3022,0.3189,0.3033,0.3022,0.3133,,0.3133,,0.9662,0.9674,0.963,0.9847,0.9507,0.9533,0.9133,0.9276,0.9769,
mixed-10-checkpoints,9000,31.3677,26.4694,27.6474,29.4963,26.1302,27.2332,14.5947,,21.0903,,0.341,0.299,0.29,0.286,0.2606,0.2995,,,0.2897,,0.335,0.307,0.331,0.327,0.302,0.305,0.309,,0.322,,0.3033,0.3189,0.33,0.31,0.3133,0.3067,0.3011,,0.3211,,0.9701,0.9725,0.9626,0.9839,0.9543,0.9593,0.903,0.9383,0.9804,
mixed-10-checkpoints,10000,26.9014,32.2545,18.16,36.7792,27.1473,23.7617,21.0206,,25.8802,,0.365,0.3,0.293,0.28,0.2698,0.3025,,,0.3099,,0.345,0.301,0.353,0.312,0.313,0.317,0.331,,0.341,,0.3089,0.3233,0.3222,0.3411,0.3111,0.3078,0.29,,0.3344,,0.9623,0.9725,0.9677,0.9847,0.9569,0.9643,0.9231,0.9342,0.9756,
mixed-10-checkpoints,11000,23.6339,33.6147,26.8848,27.0363,19.2964,26.5871,18.4094,,37.5827,,0.334,0.31,0.298,0.306,0.2688,0.3095,,,0.3058,,0.355,0.32,0.343,0.34,0.321,0.309,0.336,,0.326,,0.32,0.3244,0.3189,0.3489,0.3033,0.3033,0.3,,0.3278,,0.9571,0.9725,0.9693,0.9816,0.9609,0.9627,0.9259,0.9457,0.9826,
mixed-10-checkpoints,12000,23.3184,33.9681,31.6861,26.5746,15.1853,20.6438,21.5508,,34.5525,,0.363,0.323,0.313,0.318,0.2718,0.3035,,,0.3008,,0.369,0.323,0.365,0.335,0.319,0.33,0.335,,0.327,,0.32,0.3433,0.3367,0.3533,0.3211,0.3111,0.31,,0.34,,0.9727,0.9751,0.9693,0.9835,0.965,0.9633,0.9328,0.944,0.9826,
mixed-10-checkpoints,13000,30.9713,30.1708,27.4615,36.5702,20.1983,27.3568,20.6316,,43.7753,,0.374,0.334,0.3,0.32,0.2617,0.3015,,,0.3129,,0.376,0.315,0.363,0.342,0.314,0.327,0.343,,0.341,,0.32,0.3367,0.3533,0.3311,0.3233,0.3267,0.2922,,0.32,,0.9675,0.9773,0.9728,0.987,0.9658,0.964,0.9294,0.944,0.983,
mixed-10-checkpoints,14000,28.542,26.471,28.373,38.5353,19.0176,17.1103,30.036,,38.4113,,0.373,0.306,0.309,0.31,0.2809,0.3146,,,0.329,,0.382,0.328,0.371,0.353,0.347,0.332,0.338,,0.334,,0.3456,0.33,0.3389,0.3378,0.3233,0.3122,0.2856,,0.3311,,0.9675,0.9777,0.9717,0.9851,0.9661,0.9667,0.9328,0.9399,0.9822,
mixed-10-checkpoints,15000,25.585,39.1686,22.1496,31.137,21.7468,27.0265,34.9954,,44.728,,0.382,0.308,0.315,0.322,0.2718,0.3166,,,0.3219,,0.378,0.331,0.375,0.36,0.334,0.334,0.344,,0.35,,0.3444,0.3411,0.3344,0.3456,0.3144,0.3089,0.3089,,0.3478,,0.9766,0.9794,0.9689,0.991,0.9716,0.966,0.9288,0.9407,0.9813,
