model,ckpt,flores200_chrf,flores200_cv,xcsqa_acc,xcsqa_cv,hellaswag_acc,hellaswag_cv,belebele_acc,belebele_cv,multiblimp_acc,multiblimp_cv
mixed-10-checkpoints,1000,14.5792,47.4217,0.2078,7.7403,0.2498,5.0306,0.2312,5.6268,,
mixed-10-checkpoints,2000,14.68,58.165,0.2105,5.466,0.2625,6.3157,0.2654,8.4877,,
mixed-10-checkpoints,3000,13.093,45.0424,0.2178,7.4493,0.2659,5.0882,0.2729,7.1964,,
mixed-10-checkpoints,4000,14.1933,48.1016,0.2244,7.8823,0.2781,5.4803,0.2772,6.3669,,
mixed-10-checkpoints,5000,15.531,44.5784,0.2406,11.3328,0.2792,8.8582,0.284,8.2256,,
mixed-10-checkpoints,6000,15.9275,41.7026,0.2547,15.0575,0.2848,9.5474,0.293,8.2888,,
mixed-10-checkpoints,7000,17.688,47.7851,0.2542,11.6175,0.293,9.4264,0.2892,7.7682,,
mixed-10-checkpoints,8000,16.0106,52.6362,0.2616,14.6061,0.2977,10.7907,0.2991,7.6981,,
mixed-10-checkpoints,9000,19.4035,51.4642,0.2672,17.3213,0.2996,9.7055,0.3015,8.5723,,
mixed-10-checkpoints,10000,21.1207,43.0058,0.276,17.1028,0.3049,11.3877,0.3033,9.1868,,
mixed-10-checkpoints,11000,22.1387,42.3551,0.2768,16.7267,0.3078,11.6156,0.3038,9.1294,,
mixed-10-checkpoints,12000,21.1956,45.2085,0.2816,18.9099,0.3127,12.4787,0.3126,9.7638,,
mixed-10-checkpoints,13000,24.8882,38.9778,0.2848,18.7988,0.3165,11.6944,0.3097,9.585,,
mixed-10-checkpoints,14000,22.701,47.5209,0.2855,18.8578,0.3219,12.87,0.3096,9.7565,,
mixed-10-checkpoints,15000,26.804,36.2516,0.2883,19.1705,0.323,13.0289,0.317,8.2054,,
mixed-10-checkpoints,16000,26.4808,48.9655,0.2864,18.6904,0.3271,12.7243,0.3192,8.6787,,
mixed-10-checkpoints,17000,20.9354,32.5829,0.2948,18.8016,0.324,13.9391,0.3235,9.8809,,
mixed-10-checkpoints,18000,30.4136,40.0722,0.2944,19.0895,0.33,13.9734,0.3225,10.8732,,
mixed-10-checkpoints,19000,26.1129,36.3888,0.2924,18.2393,0.3307,13.9553,0.3255,10.5843,,
mixed-10-checkpoints,20000,26.4586,40.1651,0.29,19.9685,0.3268,14.5296,0.325,10.6461,,
mixed-10-checkpoints,21000,27.873,39.2447,0.3036,19.4621,0.3355,15.0598,0.3261,11.643,,
mixed-10-checkpoints,22000,29.8676,39.036,0.2953,19.25,0.3335,15.3634,0.331,14.0812,,
mixed-10-checkpoints,23000,25.0826,39.5116,0.3065,19.2492,0.3346,14.567,0.3248,12.6697,,
mixed-10-checkpoints,24000,24.3825,41.6946,0.304,20.5471,0.3403,15.3186,0.3305,10.6226,,
mixed-10-checkpoints,25000,24.6408,37.9871,0.3025,19.0625,0.3417,14.8775,0.3279,11.3772,,
mixed-10-checkpoints,26000,25.0295,44.7258,0.3042,19.2611,0.3379,15.3342,0.333,11.7321,,
mixed-10-checkpoints,27000,33.0587,41.6049,0.3039,20.4376,0.3415,15.2058,0.3348,11.4956,,
mixed-10-checkpoints,28000,28.0082,49.6321,0.3025,20.4508,0.3432,15.826,0.3283,10.6524,,
mixed-10-checkpoints,29000,30.2106,44.8636,0.3011,20.0741,0.3472,16.7399,0.3343,12.3083,,
mixed-10-checkpoints,30000,28.8441,44.2557,0.3111,19.6943,0.3508,15.5684,0.3344,11.8822,,
mixed-10-checkpoints,31000,26.1133,48.202,0.3077,19.7735,0.3442,16.4886,0.3311,13.3161,,
mixed-10-checkpoints,32000,29.8477,39.4658,0.3018,19.7056,0.3499,15.8275,0.3292,10.8979,,
mixed-10-checkpoints,33000,27.3719,50.3242,0.3078,20.2521,0.3508,15.5253,0.3418,11.1263,,
mixed-10-checkpoints,34000,25.8574,36.494,0.2981,19.3481,0.3558,16.3544,0.3365,12.2299,,
mixed-10-checkpoints,35000,28.1821,43.1305,0.3041,20.184,0.3523,16.5578,0.3393,12.4638,,
mixed-10-checkpoints,36000,27.7409,38.8423,0.3055,21.2905,0.3525,17.1773,0.3427,13.1837,,
mixed-10-checkpoints,37000,25.9968,45.1372,0.3089,22.7551,0.3541,17.0204,0.3342,13.2369,,
mixed-10-checkpoints,38000,28.0204,44.9362,0.3117,22.2634,0.3538,17.0171,0.3422,13.313,,
mixed-10-checkpoints,39000,26.4315,35.7526,0.313,20.4029,0.3573,17.4414,0.3358,13.0371,,
mixed-10-checkpoints,40000,25.8391,35.2371,0.3137,20.6667,0.3604,16.7685,0.339,12.104,,
mixed-10-checkpoints,41000,26.1584,34.9208,0.3131,22.1727,0.3636,17.6545,0.3411,12.9667,,
mixed-10-checkpoints,42000,27.5762,40.3706,0.3187,20.8582,0.3655,17.7248,0.3421,13.0258,,
mixed-10-checkpoints,43000,28.5469,36.1563,0.3146,21.3331,0.3674,18.1728,0.3494,13.3015,,
mixed-10-checkpoints,44000,28.4409,35.5527,0.319,21.5337,0.3709,17.9289,0.3426,12.622,,
mixed-10-checkpoints,45000,30.3114,35.1186,0.3226,21.5745,0.37,17.7194,0.3457,12.8887,,
mixed-10-checkpoints,46000,26.9488,35.739,0.3207,21.6256,0.3723,18.5471,0.3492,12.9279,,
mixed-10-checkpoints,47000,31.1431,35.6892,0.321,22.1472,0.3752,17.9199,0.3495,13.3293,,
mixed-10-checkpoints,47684,30.0141,33.2785,0.3228,21.6961,0.375,17.9679,0.3488,13.5008,0.9757,1.39
merged-10-checkpoints,1000,1.3554,140.4234,0.2028,5.4737,0.2576,5.438,0.2368,5.8779,,
merged-10-checkpoints,2000,0.0,,0.204,6.8742,0.2503,5.1405,0.2431,4.4715,,
merged-10-checkpoints,3000,1.2043,113.6683,0.2034,6.4504,0.2517,5.4268,0.2344,4.1407,,
merged-10-checkpoints,4000,2.918,59.989,0.2049,7.6992,0.2506,7.5525,0.2337,5.257,,
merged-10-checkpoints,5000,2.8924,57.3807,0.2027,7.0686,0.2551,6.5531,0.2346,5.9681,,
merged-10-checkpoints,6000,2.5885,21.523,0.2057,5.0204,0.2539,5.1132,0.2377,3.9456,,
merged-10-checkpoints,7000,2.4745,20.4808,0.2085,6.2762,0.2546,4.7768,0.2384,3.9304,,
merged-10-checkpoints,8000,2.4067,24.1169,0.2096,6.1335,0.2507,4.9539,0.2372,3.5297,,
merged-10-checkpoints,9000,2.0354,19.0549,0.2105,6.4279,0.255,6.1299,0.2374,4.0454,,
merged-10-checkpoints,10000,2.0923,20.9016,0.2107,7.3346,0.2537,5.9723,0.2386,4.0106,,
merged-10-checkpoints,11000,2.4392,16.4483,0.2133,7.0967,0.2542,5.9862,0.2404,4.5732,,
merged-10-checkpoints,12000,2.581,17.1919,0.2098,7.4363,0.2551,5.0926,0.2395,4.5992,,
merged-10-checkpoints,13000,2.5945,14.5901,0.2074,7.5837,0.2542,5.4231,0.2389,4.8522,,
merged-10-checkpoints,14000,2.447,15.915,0.2059,7.5466,0.2528,5.5154,0.2408,4.3796,,
merged-10-checkpoints,15000,2.4055,15.0796,0.2051,7.3592,0.2523,4.9008,0.2386,4.3809,,
merged-10-checkpoints,16000,2.4849,16.9909,0.2048,7.7034,0.2516,5.1322,0.2428,4.163,,
merged-10-checkpoints,17000,2.4097,13.0428,0.2023,7.7313,0.2529,5.1689,0.2406,3.4333,,
merged-10-checkpoints,18000,2.32,13.6248,0.2045,8.1243,0.2508,5.0655,0.2389,5.5652,,
merged-10-checkpoints,19000,2.3061,13.6189,0.2045,9.3053,0.2531,4.7457,0.2403,4.3472,,
merged-10-checkpoints,20000,2.3275,15.3807,0.2049,8.2459,0.253,5.3445,0.2398,3.9259,,
merged-10-checkpoints,21000,2.3061,13.6189,0.2045,8.328,0.2536,5.2767,0.2407,4.7062,,
merged-10-checkpoints,22000,2.2874,14.9967,0.2056,8.8591,0.2522,4.9363,0.2426,4.6239,,
merged-10-checkpoints,23000,2.3061,13.6189,0.2035,8.8361,0.2511,4.6232,0.2405,5.0629,,
merged-10-checkpoints,24000,2.3061,13.6189,0.2046,8.2334,0.2522,4.8836,0.2378,5.0292,,
merged-10-checkpoints,25000,2.3061,13.6189,0.2057,8.6003,0.2526,5.3686,0.2379,4.3381,,
merged-10-checkpoints,26000,2.2958,14.0095,0.2043,8.5168,0.2515,5.133,0.2397,4.9199,,
merged-10-checkpoints,27000,2.2477,14.7713,0.2052,7.7264,0.2516,4.8337,0.2409,5.9501,,
merged-10-checkpoints,28000,2.259,14.4113,0.2044,8.3333,0.2502,6.071,0.2417,5.0483,,
merged-10-checkpoints,29000,2.2833,14.5764,0.2027,8.5169,0.2495,5.3045,0.2411,5.166,,
merged-10-checkpoints,30000,2.2037,14.7299,0.2049,8.1402,0.2503,4.4349,0.2426,4.9526,,
merged-10-checkpoints,31000,2.2119,14.6517,0.202,8.4746,0.2523,5.4425,0.2412,4.4682,,
merged-10-checkpoints,32000,2.2037,14.7299,0.2038,8.3523,0.249,5.6201,0.2415,5.3116,,
merged-10-checkpoints,33000,2.2037,14.7299,0.2026,9.2352,0.2486,5.1811,0.2426,5.1397,,
merged-10-checkpoints,34000,1.9902,18.3207,0.2035,8.51,0.253,4.7073,0.2427,4.3691,,
merged-10-checkpoints,35000,2.1812,14.7588,0.2049,8.197,0.253,4.1799,0.2388,4.9331,,
merged-10-checkpoints,36000,2.1441,15.8627,0.2083,8.7114,0.2536,5.4625,0.2432,5.451,,
merged-10-checkpoints,37000,2.2037,14.7299,0.2036,7.5064,0.2513,4.971,0.2385,6.5745,,
merged-10-checkpoints,38000,2.2037,14.7299,0.2054,8.4281,0.2501,5.2353,0.2393,4.8382,,
merged-10-checkpoints,39000,1.9418,20.3915,0.2029,8.4502,0.2508,4.5588,0.24,5.0468,,
merged-10-checkpoints,40000,2.0176,19.0398,0.202,8.2302,0.2515,4.2105,0.2385,5.7595,,
merged-10-checkpoints,41000,2.1565,15.6585,0.2012,8.8838,0.2498,4.5536,0.2382,5.2929,,
merged-10-checkpoints,42000,2.0383,17.7522,0.201,9.7476,0.2497,4.6859,0.2371,5.1106,,
merged-10-checkpoints,43000,1.99,18.7711,0.2025,8.8629,0.2512,4.7962,0.2385,5.8467,,
merged-10-checkpoints,44000,1.9926,18.3888,0.2043,8.6863,0.2512,5.5444,0.2391,6.6797,,
merged-10-checkpoints,45000,2.0135,18.1158,0.2032,8.4942,0.2515,6.5679,0.2391,6.6608,,
merged-10-checkpoints,46000,2.0373,17.5301,0.204,8.4902,0.2519,5.8731,0.2397,6.3098,,
merged-10-checkpoints,47000,2.1348,16.0818,0.2036,8.3087,0.2519,6.3335,0.2384,6.3502,,
merged-10-checkpoints,47684,2.0846,17.2413,0.2033,7.9281,0.2512,6.1808,0.2392,6.4311,0.5987,14.23
merged-2-checkpoints,47684,0.0,,0.2025,8.8054,0.2531,4.9941,0.2408,5.025,0.6313,9.46
merged-3-checkpoints,47684,0.5987,168.1943,0.2036,8.3434,0.2535,4.732,0.2419,6.2996,0.6381,8.83
merged-4-checkpoints,47684,3.8739,30.1694,0.2038,6.8007,0.2556,4.8061,0.2409,6.0914,0.6201,11.27
merged-5-checkpoints,47684,3.1793,36.3739,0.2018,6.7277,0.2546,4.7902,0.2431,4.973,0.6187,9.28
merged-6-checkpoints,47684,0.0,,0.2091,8.7916,0.2535,5.6025,0.2391,6.1789,0.6345,9.65
merged-7-checkpoints,47684,0.0,,0.2067,7.6493,0.2518,6.3071,0.2399,6.6241,0.6247,8.66
merged-8-checkpoints,47684,0.0,,0.2046,8.5634,0.2538,4.2879,0.2387,6.3189,0.6252,9.44
merged-9-checkpoints,47684,2.1257,91.7376,0.2033,9.2214,0.2553,5.0929,0.241,5.1899,0.6023,10.37
gemma-2-2b,47684,42.1594,27.7166,0.4383,21.8567,0.5218,17.4544,0.4865,11.1592,0.9483,3.46
tiny-aya-base,47684,39.1994,35.6501,0.4779,14.4798,0.5675,13.1529,0.5426,8.9554,0.9719,2.14
mono_experts,47684,37.3482,25.9886,0.3902,18.4477,0.4865,14.2984,0.3926,7.7424,0.9867,0.78
